Id,Label,timeset,componentnumber,modularity_class,pageranks
paho-mqtt,paho-mqtt,,307,1,0.00675
gtts,gtts,,307,1,0.004563
parso,parso,,307,3,0.005401
minio,minio,,307,5,0.003722
healpy,healpy,,307,7,0.006778
fastcluster,fastcluster,,307,5,0.004473
pymc,pymc,,307,7,0.008023
readability-lxml,readability-lxml,,307,2,0.006133
langdetect,langdetect,,307,2,0.006666
plac,plac,,307,2,0.004975
pyjwt,pyjwt,,307,3,0.007421
flask-cors,flask-cors,,307,3,0.008751
geopy,geopy,,307,0,0.005145
folium,folium,,307,0,0.007241
schedule,schedule,,307,3,0.005711
google-auth,google-auth,,307,7,0.006911
ccxt,ccxt,,307,3,0.006106
pytorch-transformers,pytorch-transformers,,307,0,0.003612
opt-einsum,opt-einsum,,307,7,0.005554
google-auth-oauthlib,google-auth-oauthlib,,307,7,0.004732
sphinx_rtd_theme,sphinx_rtd_theme,,307,5,0.004473
blosc,blosc,,307,3,0.002468
pyside,pyside,,307,4,0.005032
ijson,ijson,,307,5,0.004058
py-cpuinfo,py-cpuinfo,,307,6,0.003987
orjson,orjson,,307,2,0.007886
cryptography,cryptography,,307,7,0.007146
supar,supar,,307,0,0.00279
pyautogui,pyautogui,,307,3,0.004646
apscheduler,apscheduler,,307,1,0.002389
pyasn,pyasn,,307,7,0.006427
sounddevice,sounddevice,,307,1,0.005197
mss,mss,,307,3,0.004553
prompt-toolkit,prompt-toolkit,,307,3,0.006027
wtforms,wtforms,,307,3,0.00287
dropbox,dropbox,,307,1,0.004117
psycopg-binary,psycopg-binary,,307,2,0.005122
dotmap,dotmap,,307,2,0.005355
dlhub_sdk,dlhub_sdk,,307,6,0.005352
matminer,matminer,,307,6,0.004143
watchdog,watchdog,,307,5,0.003722
sphinxcontrib-napoleon,sphinxcontrib-napoleon,,307,2,0.002135
pebble,pebble,,307,3,0.004821
pyopenssl,pyopenssl,,307,7,0.004732
pyld,pyld,,307,0,0.001932
multipledispatch,multipledispatch,,307,1,0.004117
async-timeout,async-timeout,,307,6,0.001708
sudachipy,sudachipy,,307,2,0.003866
rootpath,rootpath,,307,5,0.004119
netifaces,netifaces,,307,1,0.004117
pyconll,pyconll,,307,0,0.00279
papermill,papermill,,307,5,0.005518
ta-lib,ta-lib,,307,3,0.005005
python-rapidjson,python-rapidjson,,307,3,0.005005
sdnotify,sdnotify,,307,3,0.005005
entrypoints,entrypoints,,307,7,0.00776
jupyter_client,jupyter_client,,307,5,0.006263
river,river,,307,3,0.002016
prometheus_client,prometheus_client,,307,6,0.00553
gorilla,gorilla,,307,6,0.006219
bert-score,bert-score,,307,2,0.004474
globus-sdk,globus-sdk,,307,6,0.002917
torchinfo,torchinfo,,307,4,0.005032
kiwisolver,kiwisolver,,307,7,0.005503
sphinx-rtd-theme,sphinx-rtd-theme,,307,2,0.002135
janus,janus,,307,3,0.005304
pytextrank,pytextrank,,307,2,0.005024
robotframework,robotframework,,307,3,0.002672
ansible,ansible,,307,1,0.004651
httpretty,httpretty,,307,1,0.004651
transitions,transitions,,307,1,0.004651
python_xlib,python_xlib,,307,3,0.003963
